Asset #,Source,Asset Title,URL,Content Type,License,License URL,Suggested Learning Objective,Difficulty Level,Duration,Assessment Availability,Visual/Interactive Tags,Priority,Notes
11,Khan Academy,AP Macroeconomics,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Analyze GDP, monetary policy, fiscal policy, and international trade using economic models",Intro,~20 hrs,Yes – embedded exercises and unit tests,"Interactive exercises, Video",1,⚠️ NC/SA FLAG; AP-aligned; strong bridge to OpenStax Macro
12,LibreTexts Workforce,Manufacturing Process Technology,https://workforce.libretexts.org/Bookshelves/Manufacturing,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Identify manufacturing processes including machining, forming, and quality control",Vocational,~20 hrs,Some quizzes,Technical diagrams,1,"CC BY; CNC, machining, QC modules; pairs with Six Sigma White Belt"
13,LibreTexts Workforce,Building Maintenance and Construction,https://workforce.libretexts.org/Bookshelves/Building_Maintenance_and_Construction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Identify building systems and apply basic maintenance and repair procedures,Vocational,~20 hrs,Some quizzes,"Technical diagrams, Photos",1,"CC BY; includes carpentry, plumbing, and electrical systems maintenance"
14,LibreTexts Workforce,Emergency Medical Services – EMS Basics,https://workforce.libretexts.org/Bookshelves/Emergency_Medical_Services,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply EMT-Basic protocols for patient assessment, airway management, and emergency care",Vocational,~30 hrs,Some quizzes,"Photos, Procedures, Diagrams",1,CC BY; LibreTexts Workforce; NREMT-aligned; first responder vocational track
15,LibreTexts Workforce,Electronics Technology,https://workforce.libretexts.org/Bookshelves/Electronics_Technology,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Identify electronic components and apply DC/AC circuit analysis to troubleshoot systems,Vocational,~20 hrs,Some quizzes,Technical diagrams,1,CC BY; pairs with NCCER Electrical Level 1; vocational electronics
16,LibreTexts Workforce,Building Maintenance – Plumbing and Piping Systems,https://workforce.libretexts.org/Bookshelves/Building_Maintenance_and_Construction,Textbook Chapter,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Install and maintain domestic water service, DWV, and piping valve systems",Vocational,~10 hrs,Some quizzes,Technical diagrams,1,CC BY; LibreTexts Workforce; plumbing/piping trade; pairs with NCCER Plumbing L1
17,MIT OCW,Artificial Intelligence (6.034),https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Build AI systems using knowledge representation, search, constraints, and learning",Intermediate,~40 hrs,Problem sets + exams (manual); 9 psets,"Video lectures, Interactive demos",1,⚠️ NC/SA FLAG; Patrick Winston lectures; 23 videos on YouTube; classic foundational course
18,MIT OCW,Introduction to Machine Learning (6.036),https://ocw.mit.edu/courses/6-036-introduction-to-machine-learning-fall-2020/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Implement supervised/unsupervised learning algorithms and evaluate model performance,Intermediate,~40 hrs,Weekly labs + homeworks (auto-graded in Open Learning Library),"Jupyter notebooks, Python code",1,⚠️ NC/SA FLAG; also on MIT Open Learning Library free; Python prereq required
19,MIT OCW,Introduction to Deep Learning (6.S191),https://ocw.mit.edu/courses/6-s191-introduction-to-deep-learning-january-iap-2020/,Course,MIT License (open-source),https://introtodeeplearning.com,"Build neural networks, CNNs, RNNs, and generative AI models using TensorFlow",Advanced,~15 hrs,Jupyter notebook labs (Colab-based),"Video lectures, Interactive labs, Code demos",1,MIT License; Colab labs on GitHub; 2025 edition covers LLMs + generative AI
20,MIT OCW,Computational Thinking and Data Science (6.0002),https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Use Python to simulate systems, analyze data, and build statistical models",Intermediate,~36 hrs,Problem sets (manual),"Video lectures, Python code",1,⚠️ NC/SA FLAG; follows 6.0001; bridge to data science
21,MIT OCW,Probability and Statistics (18.05),https://ocw.mit.edu/courses/18-05-introduction-to-probability-and-statistics-spring-2014/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Calculate probability distributions, confidence intervals, and Bayesian updates",Intermediate,~36 hrs,Problem sets + exams (manual),"Visual simulations, Graphs",1,⚠️ NC/SA FLAG; pairs with ML track; prereq for 18.650 and 6.036
22,NICCS / CISA,Federal Virtual Training Environment (FedVTE),https://fedvte.usalearning.gov/,Course Collection,Public Domain (U.S. Gov),https://fedvte.usalearning.gov/terms.cfm,Master cybersecurity topics from ethical hacking to cloud security and incident response,Vocational,Variable 5-25 hrs,Yes – end-of-course assessments,"Video, Interactive",1,U.S. Government; free to public; 800+ hrs content; CompTIA/CEH/CISSP-aligned
23,OSHA.gov,Construction eTool – Fall Protection,https://www.osha.gov/etools/construction/fall-protection,eTool,Public Domain (U.S. Gov),https://www.osha.gov/aboutosha/web-policies/copyright,Identify fall hazards and implement OSHA Subpart M fall-protection systems,Vocational,~2 hrs,No formal assessment,"Interactive diagrams, Photos",1,U.S. Government public domain; OSHA Subpart M; construction safety essential
24,OSHA.gov,Hazard Communication eTool (HazCom / GHS),https://www.osha.gov/etools/hazardous-waste/hazardous-waste-operations-emergency-response,eTool,Public Domain (U.S. Gov),https://www.osha.gov/aboutosha/web-policies/copyright,Interpret Safety Data Sheets and GHS label elements for hazardous chemicals,Vocational,~2 hrs,No formal assessment,"Interactive diagrams, SDS examples",1,U.S. Government public domain; 29 CFR 1910.1200 aligned; all industrial tracks
25,Open Textbook Library,Technical Writing,https://open.umn.edu/opentextbooks/textbooks/technical-writing,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Produce technical documents including user manuals, reports, and proposals",Intermediate,~15 hrs,No formal assessment,"Examples, Writing exercises",1,"CC BY; peer-reviewed; engineering, IT, and trades documentation"
26,Open Textbook Library,Business Writing for Everyone,https://open.umn.edu/opentextbooks/textbooks/business-writing-for-everyone,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Write clear and inclusive professional communications for diverse workplace audiences,Intro,~15 hrs,No formal assessment,"Examples, Exercises",1,CC BY; peer-reviewed; diversity-in-communication focus
27,OpenLearn,Climate Change: From Learning to Action,https://www.open.edu/openlearn/nature-environment/climate-change-learning-action/content-section-0,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Analyze climate science evidence and evaluate mitigation and adaptation strategies,Intro,~24 hrs,Badged – quiz-based,"Video, Interactive, Data visuals",1,⚠️ NC/SA FLAG; OU badged; ideal for sustainability track
28,OpenLearn,Project Management: The Basics for Success,https://www.open.edu/openlearn/money-business/project-management-the-basics-success/content-section-0,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Plan, execute, and close projects using structured project management tools",Intro,~24 hrs,Badged – quiz-based,"Video, Templates, Interactive",1,⚠️ NC/SA FLAG; OU badged; practical PM intro for vocational/certificate track
29,OpenLearn,Learning to Learn,https://www.open.edu/openlearn/education-development/learning-learn/content-section-overview,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Apply evidence-based learning strategies to improve academic performance and retention,Intro,~24 hrs,Badged – quiz-based,"Interactive, Video, Activities",1,⚠️ NC/SA FLAG; OU badged; strong onboarding module for all Nexus learners
30,OpenStax,Principles of Data Science,https://openstax.org/books/principles-data-science/pages/1-2-data-science-in-practice,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply data collection, descriptive statistics, regression, and ML basics to real datasets",Intermediate,~35 hrs,Yes – instructor test banks; auto-gradable,"Visualizations, Python code",1,Peer-reviewed; 2024 title; 11 chapters; Ch 6-7 cover ML + AI; pair with MIT 6.036
31,OpenStax,Psychology 2e,https://openstax.org/books/psychology-2e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Explain major psychological theories, research methods, and clinical applications",Intro,~30 hrs,Yes – instructor test banks,"Illustrations, Case studies",1,Peer-reviewed; CC BY; covers DSM-5; widely adopted
32,OpenStax,Introduction to Sociology 3e,https://openstax.org/books/introduction-sociology-3e/pages/1-introduction-to-sociology,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply sociological theories and research methods to contemporary social issues,Intro,~25 hrs,Yes – instructor test banks,"Case studies, Data tables",1,Peer-reviewed; CC BY 4.0; modular; easy micro-unit split
33,OpenStax,Lifespan Development,https://openstax.org/details/books/lifespan-development,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Describe physical, cognitive, and psychosocial development from birth through old age",Intro,~30 hrs,Yes – instructor test banks,"Illustrations, Charts",1,Peer-reviewed; 2024 title; CC BY; end-of-module exercises
34,OpenStax,Writing Guide with Handbook,https://openstax.org/books/writing-guide/pages/1-unit-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Produce well-structured academic and professional writing across multiple genres,Intro,~20 hrs,Yes – instructor test banks,"Examples, Writing exercises",1,Peer-reviewed; CC BY; includes APA/MLA citation handbook
35,OpenStax,Pharmacology for Nurses,https://openstax.org/books/pharmacology/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply pharmacokinetics, drug administration, and dosage calculations to safe nursing care",Intermediate,~35 hrs,Yes – instructor test banks; NCLEX-prep quizzes,"Clinical diagrams, Tables",1,Peer-reviewed; 2024 title; 40 chapters; NCLEX aligned
36,OpenStax,Medical-Surgical Nursing,https://openstax.org/details/books/medical-surgical-nursing,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply clinical reasoning to care for adult patients with medical-surgical diagnoses,Advanced,~40 hrs,Yes – instructor test banks,"Clinical case studies, Diagrams",1,Peer-reviewed; CC BY; 2024 title; includes health informatics and EHR chapters
37,OpenStax,Population Health for Nurses,https://openstax.org/details/books/population-health-nurses,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply public health frameworks to promote wellness and prevent disease at population scale,Intermediate,~25 hrs,Yes – instructor test banks,"Community data, Case studies",1,Peer-reviewed; CC BY; 2024 title
38,OpenStax,Nutrition for Nurses,https://openstax.org/details/books/nutrition-nurses,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply nutritional science principles to patient assessment and nursing care planning,Intermediate,~20 hrs,Yes – instructor test banks,"Tables, Diagrams",1,Peer-reviewed; CC BY; 2024 title; pairs with Population Health for Nurses
39,OpenStax,Maternal Newborn Nursing,https://openstax.org/details/books/maternal-newborn-nursing,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply nursing principles to antepartum, intrapartum, and newborn care",Advanced,~35 hrs,Yes – instructor test banks,"Clinical photos, Case studies",1,Peer-reviewed; CC BY; 2024 title; NCLEX aligned
40,OpenStax,Psychiatric-Mental Health Nursing,https://openstax.org/details/books/psychiatric-mental-health-nursing,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply therapeutic communication and evidence-based interventions in mental health nursing,Advanced,~30 hrs,Yes – instructor test banks,"Case studies, DSM-5 diagrams",1,Peer-reviewed; CC BY; 2024 title
41,OpenStax,Community Health Nursing,https://openstax.org/details/books/community-health-nursing,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply community health nursing principles to promote wellness across diverse populations,Intermediate,~25 hrs,Yes – instructor test banks,"Community data, Case studies",1,Peer-reviewed; CC BY; 2024 title
42,OpenStax,Introduction to Early Childhood Education,https://openstax.org/details/books/introduction-early-childhood-education,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Describe child development principles and evidence-based early childhood teaching practices,Intro,~20 hrs,Yes – instructor test banks,"Illustrations, Case studies",1,Peer-reviewed; CC BY; 2024 title; aligned with CDA credential requirements
43,OpenStax,Introductory Spanish,https://openstax.org/details/books/introductory-spanish,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Demonstrate foundational Spanish communication skills in reading, writing, and speaking",Intro,~20 hrs,Yes – instructor test banks,"Audio, Interactive exercises",1,Peer-reviewed; CC BY; 2024 title; audio components included
44,OpenStax,Elementary Algebra 2e,https://openstax.org/books/elementary-algebra-2e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Solve linear and quadratic equations, inequalities, and systems of equations",Intro,~20 hrs,Yes – instructor test banks,Diagrams,1,Peer-reviewed; CC BY; developmental math track; Nexus Depth Engine remediation node
45,OpenStax,Business Ethics,https://openstax.org/books/business-ethics/pages/preface,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply ethical frameworks to resolve corporate dilemmas in finance, HR, and marketing",Intro,~20 hrs,Yes – instructor test banks,Case studies,1,"Peer-reviewed; CC BY; business, healthcare, and tech ethics modules"
46,OpenStax,Workplace Software and Skills,https://openstax.org/details/books/workplace-software-and-skills,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply productivity software (Word, Excel, PowerPoint, Teams) to professional tasks",Intro,~20 hrs,Yes – instructor test banks,"Screenshots, Exercises",1,Peer-reviewed; CC BY; 2024 title; foundational digital literacy for all career tracks
47,PMI,Introduction to PMP Certification (Free),https://www.pmi.org/learning/free-online-courses,Course,Proprietary (free-to-access),https://www.pmi.org/about/terms-of-use,"Explain PMI project management framework, PMBOK principles, and PMP exam structure",Vocational,~2 hrs,PMI quiz-based,"Video, Text",1,⚠️ PROPRIETARY – free; official PMI intro; prerequisite for PMP certification path
48,PhET – Univ. Colorado,Charges and Fields Simulation,https://phet.colorado.edu/en/simulations/charges-and-fields,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Map electric field lines and calculate field strength using point charge simulations,Intermediate,~1 hr,Challenge questions,Interactive simulation,1,⚠️ NC FLAG; HTML5; pairs with University Physics Vol. 2 E&M
49,Professor Messer,CompTIA Network+ N10-008 Free Course,https://www.professormesser.com/network-plus/n10-008/n10-008-video/n10-008-training-course/,Video Course,Proprietary (free-to-access),https://www.professormesser.com/terms-of-service/,"Describe networking protocols, topologies, security, and troubleshooting procedures",Vocational,~17 hrs,Yes – practice quizzes available,"Video lectures, Network diagrams",1,⚠️ PROPRIETARY – free video; gold standard for CompTIA N+ prep
50,Professor Messer,CompTIA A+ 220-1101/1102 Free Course,https://www.professormesser.com/free-a-plus-training/220-1101/220-1101-video/,Video Course,Proprietary (free-to-access),https://www.professormesser.com/terms-of-service/,"Troubleshoot and configure PC hardware, operating systems, and mobile devices",Vocational,~30 hrs,Yes – practice exams available,"Video lectures, Hardware photos",1,⚠️ PROPRIETARY – free; 220-1101/1102 objectives fully covered
51,SANS Institute,SANS Cyber Aces (Free),https://www.cyberaces.org/courses/,Course,Proprietary (free-to-access),https://www.cyberaces.org/terms.html,"Identify OS, networking, and security fundamentals for entry-level cyber roles",Vocational,~10-15 hrs,Yes – auto-graded module quizzes,"Video, Interactive modules",1,"⚠️ PROPRIETARY – free; SANS-backed; covers Windows, Linux, networking; CompTIA S+ prep"
52,Saylor Academy,PSYCH101: Introduction to Psychology,https://learn.saylor.org/course/view.php?id=55,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Describe major psychological concepts including cognition, behavior, and mental health",Intro,~36 hrs,Yes – auto-gradable final exam,"Text, Videos",1,ACE credit recommended; CC BY; pairs with OpenStax Psychology 2e
53,Saylor Academy,BUS402: Project Management,https://learn.saylor.org/course/view.php?id=33,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Apply project life cycle, scheduling, and risk management to real projects",Intermediate,~40 hrs,Yes – auto-gradable final exam,"Text, Case studies, Diagrams",1,"ACE credit; CC BY; Gantt charts, critical path, earned value covered"
54,Saylor Academy,BUS300: Supply Chain Management,https://learn.saylor.org/course/view.php?id=12,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Apply supply chain strategy, procurement, and logistics to business operations",Intermediate,~30 hrs,Yes – auto-gradable final exam,"Text, Case studies",1,ACE credit; CC BY; strong business operations supplement
55,Saylor Academy,BUS306: Operations Management,https://learn.saylor.org/course/view.php?id=13,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Apply process design, lean, and forecasting to optimize business operations",Intermediate,~40 hrs,Yes – auto-gradable final exam,"Text, Case studies",1,ACE credit; CC BY; pairs with supply chain and Six Sigma tracks
56,Saylor Academy,BUS305: Small Business Management,https://learn.saylor.org/course/view.php?id=46,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Develop a small business plan covering marketing, finance, and operations strategy",Intermediate,~40 hrs,Yes – auto-gradable final exam,"Text, Case studies",1,ACE credit; CC BY; small business / entrepreneurship vocational track
57,Saylor Academy,BUS303: Human Resource Management,https://learn.saylor.org/course/view.php?id=80,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Apply HRM practices in recruitment, performance management, and employment law",Intermediate,~36 hrs,Yes – auto-gradable final exam,"Text, Case studies",1,ACE credit; CC BY; HR vocational track
58,Saylor Academy,CS303: Algorithms,https://learn.saylor.org/course/view.php?id=17,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Analyze algorithm complexity and implement sorting, searching, and graph algorithms",Intermediate,~40 hrs,Yes – auto-gradable final exam,"Text, Pseudocode",1,ACE credit; CC BY; pairs with MIT 6.006; CS core curriculum
59,Six Sigma Online,Lean Six Sigma White Belt Certification (Free),https://www.sixsigmaonline.org/lean-six-sigma-white-belt-certification/,Certification Course,Proprietary (free-to-access),https://www.sixsigmaonline.org/terms-and-conditions/,Explain the DMAIC methodology and basic Six Sigma tools for process improvement,Vocational,~4-6 hrs,Yes – auto-graded; official White Belt certificate,"Video, Text",1,⚠️ PROPRIETARY – free; accredited White Belt cert; VMEdu/6sigmastudy accredited
60,University of Hawaii OER,The Science of Human Nutrition,https://pressbooks-dev.oer.hawaii.edu/humannutrition/,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Explain macronutrients, micronutrients, and dietary guidelines for human health",Intro,~15 hrs,Some embedded quizzes,"Diagrams, Charts",1,"CC BY; UH Mānoa OER; good for culinary, nursing, and health science tracks"
61,freeCodeCamp,Back End Development and APIs (Node.js),https://www.freecodecamp.org/learn/back-end-development-and-apis/,Certification Path,BSD (open source),https://github.com/freeCodeCamp/freeCodeCamp/blob/main/LICENSE.md,"Build REST APIs using Node.js, Express, and MongoDB",Intermediate,~300 hrs,Yes – project-based auto-graded; 5 projects,Interactive browser editor,1,BSD license; career-ready full-stack path
62,freeCodeCamp,Data Analysis with Python,https://www.freecodecamp.org/learn/data-analysis-with-python/,Certification Path,BSD (open source),https://github.com/freeCodeCamp/freeCodeCamp/blob/main/LICENSE.md,"Analyze datasets using NumPy, Pandas, and Matplotlib in Jupyter Notebooks",Intermediate,~300 hrs,Yes – 5 auto-graded projects,"Interactive Jupyter, Code",1,BSD license; bridges programming to data science
63,Alison,Medical Terminology and Healthcare Basics,https://alison.com/tag/medical-terminology,Course,Proprietary (free-to-access),https://alison.com/legal,Define and correctly use medical terminology across major body systems,Vocational,~2-3 hrs,Yes – auto-graded 80% pass,"Text, Diagrams",2,⚠️ PROPRIETARY – free; CPD certified
64,BCcampus,Modern Pastry and Plated Dessert Techniques,https://opentextbc.ca/modernpastryandplateddessert/,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Demonstrate pastry preparation techniques including laminated doughs and chocolate work,Vocational,~15 hrs,No formal assessment,"Photos, Technique guides",2,CC BY; BCcampus; highly visual culinary advanced module
65,CALI eLangdell,Criminal Procedure Casebook,https://www.cali.org/the-elangdell-bookstore,Casebook,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Explain Fourth, Fifth, and Sixth Amendment rights in criminal investigations",Intermediate,~30 hrs,H5P interactive questions embedded,"Case law excerpts, Interactive Q&A",2,⚠️ NC/SA FLAG; peer-reviewed; free digital; paralegal/legal track
66,Canva Design School,Canva Design School – Free Graphic Design,https://www.canva.com/learn/design/,Tutorial,Proprietary (free-to-access),https://www.canva.com/policies/education/,"Create professional marketing materials, presentations, and social media graphics",Intro,~3-5 hrs,No formal assessment,"Interactive design tool, Visual examples",2,⚠️ PROPRIETARY – free; browser-based Canva; practical vocational design skills
67,ESRI Learn ArcGIS,ArcGIS Online – Learn ArcGIS Tutorials (Free),https://learn.arcgis.com/en/,Tutorial Collection,Proprietary (free-to-access),https://www.esri.com/en-us/legal/terms/full-master-agreement,"Use GIS tools to create maps, analyze spatial data, and solve geographic problems",Vocational,~2-8 hrs each,Yes – guided project assessments,"Interactive maps, Visual labs",2,"⚠️ PROPRIETARY – free tier; ESRI Learn; surveying, urban planning, env science"
68,FAO e-Learning Academy,FAO Agricultural e-Learning Courses,https://elearning.fao.org/,Course Collection,CC BY-NC-SA 3.0 IGO,https://creativecommons.org/licenses/by-nc-sa/3.0/igo/,Apply sustainable agricultural practices for food security and rural development,Vocational,Variable 5-20 hrs,Yes – FAO certificate on completion,"Video, Interactive modules",2,"⚠️ NC/SA FLAG; UN FAO; 100+ courses; agri-business, food security, pest management"
69,LibreTexts Geosciences,Soil Science,https://geo.libretexts.org/Bookshelves/Soil_Science,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Describe soil formation, composition, and fertility for agricultural and environmental management",Intro,~20 hrs,Some quizzes,"Diagrams, Photos",2,"CC BY; LibreTexts; agriculture, environmental science, and landscaping programs"
70,MIT OCW,Matrix Methods in Data Analysis & ML (18.065),https://ocw.mit.edu/courses/18-065-matrix-methods-in-data-analysis-signal-processing-and-machine-learning-spring-2018/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply SVD, PCA, and neural network math to ML applications",Advanced,~36 hrs,Problem sets (manual),"Video lectures (34), Math visuals",2,⚠️ NC/SA FLAG; Gilbert Strang; prereq: linear algebra
71,MIT OCW,Network and Computer Security (6.857),https://ocw.mit.edu/courses/6-857-network-and-computer-security-spring-2014/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Analyze cryptographic protocols, authentication systems, and network security threats",Advanced,~40 hrs,Problem sets + project (manual),"Lecture notes, Case studies",2,⚠️ NC/SA FLAG; MIT faculty; strong theoretical foundation for Security+ track
72,MIT OCW,Introduction to System Dynamics (15.871),https://ocw.mit.edu/courses/15-871-introduction-to-system-dynamics-fall-2013/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Model complex business and operations systems using feedback loops and causal diagrams,Advanced,~36 hrs,Problem sets + simulation assignments,"Management flight simulators, Videos",2,⚠️ NC/SA FLAG; MIT Sloan; John Sterman; supply chain and ops tracks
73,MIT OCW,Corporate Finance (15.414),https://ocw.mit.edu/courses/15-414-financial-management-spring-2004/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply NPV, CAPM, and capital structure theory to corporate investment decisions",Advanced,~36 hrs,Problem sets + cases (manual),"Spreadsheets, Cases",2,⚠️ NC/SA FLAG; MIT Sloan; strong finance theory
74,MIT OCW,Finance Theory I (15.401),https://ocw.mit.edu/courses/15-401-finance-theory-i-fall-2008/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Explain financial market microstructure, asset pricing, and portfolio theory",Intermediate,~36 hrs,Problem sets + exams (manual),"Spreadsheets, Charts",2,⚠️ NC/SA FLAG; MIT Sloan; Andrew Lo
75,MIT OCW,Statistics for Applications (18.650),https://ocw.mit.edu/courses/18-650-statistics-for-applications-fall-2016/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply hypothesis testing, regression, and Bayesian inference to data analysis problems",Advanced,~36 hrs,Problem sets + exams (manual),"R code examples, Statistical proofs",2,⚠️ NC/SA FLAG; MIT Math; prereq: probability; bridges theory to data science
