Source Platform,Asset Title,URL,Content Type,License Name,License URL,Suggested Learning Objective,Difficulty Level,Est. Duration,Assessment Availability,Visual/Interactive Tags,Priority (1-3),Notes
OpenStax,Nursing Skills,https://openstax.org/books/nursing-skills/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Demonstrate clinical nursing skills and patient safety procedures,Vocational,~20 hrs,Yes – instructor test banks,"Clinical photos, Videos",1,Peer-reviewed; 2023 title; critical for nursing/healthcare track
MIT OCW,Introduction to Computer Science & Programming in Python (6.0001),https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Write Python programs using data structures, algorithms, and OOP",Intro,~36 hrs,Problem sets (no auto-grade); 9 psets available,"Video lectures, Code demos",1,⚠️ NC/SA FLAG; most popular OCW CS course; lecture videos on YouTube
MIT OCW,Linear Algebra (18.06),https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Apply matrix operations and eigenvalue decomposition to STEM problems,Intermediate,~36 hrs,Problem sets + exams (manual),"Video lectures, Visual proofs",1,⚠️ NC/SA FLAG; Gilbert Strang lectures; highly recommended
MIT OCW,Single Variable Calculus (18.01SC),https://ocw.mit.edu/courses/18-01sc-single-variable-calculus-fall-2010/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Compute derivatives and integrals of single-variable functions,Intro,~36 hrs,Problem sets + exams (manual),"Video lectures, Visualizations",1,⚠️ NC/SA FLAG; Scholar edition with more worked examples
MIT OCW,Introduction to Electrical Engineering and CS I (6.01SC),https://ocw.mit.edu/courses/6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Integrate programming, circuits, and signals in systems design",Intermediate,~40 hrs,Problem sets + labs (manual),"Video lectures, Lab simulations",1,⚠️ NC/SA FLAG; systems approach; no formal prereqs at MIT
MIT OCW,Circuits and Electronics (6.002),https://ocw.mit.edu/courses/6-002-circuits-and-electronics-spring-2007/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Analyze resistive, capacitive, and inductive circuits",Intermediate,~40 hrs,Problem sets + exams (manual),"Circuit diagrams, Simulations",1,⚠️ NC/SA FLAG; foundational for electrical trade students
MIT OCW,Mathematics for Computer Science (6.042J),https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-spring-2015/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply discrete math, logic, and combinatorics to CS problems",Intermediate,~36 hrs,Problem sets + exams (manual),Proof diagrams,1,⚠️ NC/SA FLAG; essential CS theory foundation
MIT OCW,Multivariable Calculus (18.02SC),https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Compute partial derivatives and multiple integrals in 3D space,Intermediate,~36 hrs,Problem sets + exams (manual),3D visualizations,2,⚠️ NC/SA FLAG; prereq: 18.01
MIT OCW,Introduction to Algorithms (6.006),https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-fall-2011/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Implement and analyze sorting, search, and graph algorithms",Intermediate,~36 hrs,Problem sets + exams (manual),Algorithm visualizations,1,⚠️ NC/SA FLAG; pairs well with CS Python intro
LibreTexts,LibreTexts Chemistry Library,https://chem.libretexts.org/,Textbook Collection,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explain chemical principles from atomic structure to organic reactions,Intro,Variable (~20-40 hrs),Some quizzes (embedded),"Molecular models, Interactive",2,⚠️ NC/SA FLAG; 2000+ texts; can remix chapters in Nexus
LibreTexts,LibreTexts Biology Library,https://bio.libretexts.org/,Textbook Collection,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Describe biological processes from molecular to ecosystem levels,Intro,Variable,Some quizzes,"Illustrations, Diagrams",2,⚠️ NC/SA FLAG; remixable; pair with OpenStax Biology
LibreTexts,LibreTexts Math Library,https://math.libretexts.org/,Textbook Collection,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Solve mathematical problems across calculus, algebra, and statistics",Intro,Variable,Embedded exercises,"Graphs, Interactive",2,⚠️ NC/SA FLAG; 2000+ texts; use specific chapter ranges
LibreTexts,LibreTexts Engineering Library,https://eng.libretexts.org/,Textbook Collection,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply engineering principles to statics, dynamics, and thermodynamics",Intermediate,Variable,Some quizzes,Technical diagrams,2,⚠️ NC/SA FLAG; solid for mechanical/civil trade supplements
LibreTexts,LibreTexts Business Library,https://biz.libretexts.org/,Textbook Collection,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply business management concepts across finance, marketing, and HR",Intro,Variable,Embedded quizzes,Case studies,2,"⚠️ NC/SA FLAG; covers management, marketing, accounting"
Saylor Academy,CS101: Introduction to Computer Science I,https://learn.saylor.org/course/view.php?id=67,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,Explain core CS principles and write introductory programs,Intro,~52 hrs,Yes – auto-gradable final exam; credit available,"Video, Text",1,ACE credit recommended; free final exam
Saylor Academy,CS102: Introduction to Computer Science II,https://learn.saylor.org/course/view.php?id=64,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,Build data structures and algorithms in a programming language,Intermediate,~51 hrs,Yes – auto-gradable final exam,"Text, Code demos",1,Follows CS101; ACE credit
Saylor Academy,BUS101: Introduction to Business,https://learn.saylor.org/course/view.php?id=1,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Describe core business operations, strategy, and ethics",Intro,~20 hrs,Yes – auto-gradable final exam; ACE credit,"Text, Case studies",1,ACE credit recommended; good standalone module
Saylor Academy,BUS105: Managerial Accounting,https://learn.saylor.org/course/view.php?id=2,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,Apply cost accounting methods to managerial decision-making,Intermediate,~20 hrs,Yes – auto-gradable final exam,"Text, Spreadsheets",1,ACE credit; prereq: BUS101 or accounting basics
Saylor Academy,MA101: Single-Variable Calculus I,https://learn.saylor.org/course/view.php?id=65,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Compute limits, derivatives, and basic integrals",Intro,~36 hrs,Yes – auto-gradable final exam,"Text, Diagrams",1,Good ACE-credit option alongside OpenStax Calculus 1
Saylor Academy,PHYS101: Introduction to Mechanics,https://learn.saylor.org/course/view.php?id=86,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Analyze motion, forces, and energy using Newton's laws",Intro,~25 hrs,Yes – auto-gradable final exam,"Text, Diagrams",1,Pair with PhET simulations
Saylor Academy,CS301: Computer Architecture,https://learn.saylor.org/course/view.php?id=71,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Explain CPU design, memory hierarchy, and instruction sets",Intermediate,~48 hrs,Yes – auto-gradable final exam,Diagrams,2,Good for hardware track; pairs with ITF+ cert prep
Saylor Academy,BUS203: Principles of Marketing,https://learn.saylor.org/course/view.php?id=3,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,Apply the 4Ps of marketing to develop a marketing strategy,Intro,~20 hrs,Yes – auto-gradable final exam,Case studies,1,ACE credit recommended
OpenLearn,Introduction to Cyber Security: Stay Safe Online,https://www.open.edu/openlearn/digital-computing/introduction-cyber-security-stay-safe-online/content-section-overview,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Identify common cyber threats and implement basic digital safety practices,Vocational,~24 hrs,Badged – OU digital badge on completion,"Interactive, Quizzes",1,⚠️ NC/SA FLAG; badged open course; 24-hr structured module
OpenLearn,Introduction to Artificial Intelligence,https://www.open.edu/openlearn/digital-computing/an-introduction-artificial-intelligence/content-section-0,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explain AI concepts including machine learning and neural networks,Intro,~8 hrs,Badged – quiz-based,"Video, Interactive",1,⚠️ NC/SA FLAG; great AI literacy module for any track
OpenLearn,Working in Teams,https://www.open.edu/openlearn/money-business/working-teams/content-section-0,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Demonstrate effective teamwork, communication, and leadership skills",Vocational,~8 hrs,Badged – quiz-based,"Video, Case studies",2,⚠️ NC/SA FLAG; badged; workplace soft skills module
OpenLearn,Fundamentals of Cost Accounting,https://www.open.edu/openlearn/money-business/fundamentals-cost-accounting-and-environmental-management-accounting/content-section-overview,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Apply cost accounting to analyze business costs and support decisions,Intermediate,~16 hrs,Quiz-based,"Text, Case studies",2,⚠️ NC/SA FLAG; OU postgraduate-level
OpenLearn,Introducing Coding and Digital Literacy,https://www.open.edu/openlearn/digital-computing/introducing-coding/content-section-overview,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Write basic code and explain digital literacy concepts for the workplace,Intro,~8 hrs,Badged – quiz-based,Interactive exercises,1,⚠️ NC/SA FLAG; no-prior-experience required
OpenLearn,Diversity and Inclusion in the Workplace,https://www.open.edu/openlearn/money-business/diversity-and-inclusion-the-workplace/content-section-overview,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Recognize diversity challenges and apply inclusive workplace practices,Vocational,~8 hrs,Badged,"Video, Reflective exercises",2,⚠️ NC/SA FLAG; HR/management track
PhET – Univ. Colorado,Ohm's Law Interactive Simulation,https://phet.colorado.edu/en/simulations/ohms-law,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,"Demonstrate the relationship between voltage, current, and resistance",Intro,~1 hr,Built-in challenge questions,"Interactive, Visual simulation",1,⚠️ NC FLAG; HTML5; free online; key for electrical trade track
PhET – Univ. Colorado,Circuit Construction Kit: DC,https://phet.colorado.edu/en/simulations/circuit-construction-kit-dc,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Build and test DC circuits using virtual components,Vocational,~1-2 hrs,Challenge questions built-in,"Interactive, Visual lab",1,⚠️ NC FLAG; excellent virtual lab substitute; no install needed
PhET – Univ. Colorado,Wave Interference Simulation,https://phet.colorado.edu/en/simulations/wave-interference,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,"Visualize wave superposition, diffraction, and interference patterns",Intermediate,~1 hr,Challenge questions,Interactive simulation,2,⚠️ NC FLAG; optics + physics module
PhET – Univ. Colorado,Build an Atom,https://phet.colorado.edu/en/simulations/build-an-atom,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Construct atomic models and identify elements on the periodic table,Intro,~1 hr,Quiz game mode,"Interactive, Visual",1,⚠️ NC FLAG; chemistry intro; game-based learning mode
PhET – Univ. Colorado,Plate Tectonics Simulation,https://phet.colorado.edu/en/simulations/plate-tectonics,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Explain tectonic plate movement and geological phenomena,Intro,~1 hr,Challenge questions,Interactive simulation,3,⚠️ NC FLAG; Earth science / environmental studies
PhET – Univ. Colorado,Balancing Chemical Equations,https://phet.colorado.edu/en/simulations/balancing-chemical-equations,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Balance chemical equations using conservation of mass principles,Intro,~1 hr,Game mode with scoring,"Interactive, Gamified",1,⚠️ NC FLAG; Chemistry intro; great for vocational chemistry
PhET – Univ. Colorado,Projectile Motion,https://phet.colorado.edu/en/simulations/projectile-motion,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Analyze projectile trajectories using kinematic equations,Intro,~1 hr,Challenge questions,Interactive simulation,2,⚠️ NC FLAG; Physics intro; pairs with OpenStax College Physics
PhET – Univ. Colorado,Faraday's Law,https://phet.colorado.edu/en/simulations/faradays-law,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Demonstrate electromagnetic induction principles,Intermediate,~1 hr,Challenge questions,Interactive simulation,1,⚠️ NC FLAG; key for electrical engineering and trades
Khan Academy,Algebra 1 Full Course,https://www.khanacademy.org/math/algebra,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Solve linear equations, inequalities, and functions",Intro,~30 hrs,Yes – auto-graded practice; mastery system,"Video, Interactive exercises",1,⚠️ NC/SA FLAG; mastery-based; excellent for remediation in Nexus
Khan Academy,AP Calculus AB,https://www.khanacademy.org/math/ap-calculus-ab,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Compute limits, derivatives, and definite integrals",Intermediate,~40 hrs,Yes – auto-graded; AP-aligned,"Video, Practice",1,⚠️ NC/SA FLAG; strong supplement to OpenStax Calculus 1
Khan Academy,Computer Science Principles,https://www.khanacademy.org/computing/ap-computer-science-principles,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Explain computing systems, algorithms, and data representation",Intro,~25 hrs,Yes – auto-graded; AP-aligned,"Interactive, Video",1,⚠️ NC/SA FLAG; AP-aligned CS intro; Nexus can adapt difficulty
Khan Academy,Intro to SQL: Querying and Managing Data,https://www.khanacademy.org/computing/computer-programming/sql,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Write SQL queries to create, read, update, and delete database records",Intro,~5 hrs,Yes – auto-graded in-browser,Interactive coding,1,⚠️ NC/SA FLAG; browser-based SQL IDE; immediately practical
Khan Academy,Personal Finance,https://www.khanacademy.org/college-careers-more/personal-finance,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply budgeting, investing, and debt management principles",Vocational,~10 hrs,Yes – auto-graded,"Video, Interactive",2,⚠️ NC/SA FLAG; essential life skills for vocational track
OER Commons,Welding Technology – OER Hub,https://www.oercommons.org/hubs/welding,OER Hub / Collection,Various (CC BY preferred),https://creativecommons.org/licenses/by/4.0/,"Identify welding processes, safety procedures, and joint preparation",Vocational,Variable,Some assessments,"Technical diagrams, Photos",2,Check individual asset licenses; filter by CC BY for Nexus import
OER Commons,STEM Adult Education Resources,https://www.oercommons.org/hubs/AE-STEM,OER Hub / Collection,Various (CC BY preferred),https://creativecommons.org/licenses/by/4.0/,Build STEM foundational skills for adult learners and career changers,Intro,Variable,Some auto-graded,Mixed,2,LINCS-partnered; filter for CC BY; strong adult education focus
OER Commons,OpenStax Ancillary Hub,https://www.oercommons.org/hubs/OpenStax,OER Hub / Collection,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Access instructor-shared slide decks, labs, and activities for OpenStax",Intro,Variable,Varies by asset,Mixed,1,Direct CC BY supplements; import with OpenStax textbooks
MERLOT,MERLOT Business Simulations Collection,https://www.merlot.org/merlot/viewMaterials.htm?filter.sublanguage=English&filter.materialType=Simulation&filter.category=Business&hasflash=0&hasjava=1&hasjavascript=1,Simulation Collection,Various (peer-reviewed),https://www.merlot.org/merlot/viewAbout.htm,Apply business strategy concepts through interactive decision simulations,Intermediate,Variable,Yes – embedded in simulations,Interactive simulations,2,Peer-reviewed 5-star items; filter CC BY before import
MERLOT,MERLOT Engineering Learning Objects,https://www.merlot.org/merlot/viewMaterials.htm?filter.sublanguage=English&filter.materialType=Animation&filter.category=EngineeringTechnology&hasflash=0,Animation/Simulation,Various (peer-reviewed),https://www.merlot.org/merlot/viewAbout.htm,Visualize engineering concepts through 3D animations and simulations,Intermediate,Variable,Some assessments,"Animations, Simulations",2,Peer-reviewed; verify license per item before import
NCCER,HVACR Level 1 – Introduction to HVACR,https://www.nccer.org/craft-catalog/hvacr/,Curriculum Module,Proprietary (purchase required),https://www.nccer.org/about/terms-of-use,"Identify HVAC components, refrigeration cycles, and safety practices",Vocational,~15 hrs/module,Yes – NCCERconnect auto-graded,"Technical diagrams, Videos",1,⚠️ PROPRIETARY – requires NCCERconnect subscription; industry standard
NCCER,Electrical Level 1 – Core + Intro Modules,https://www.nccer.org/craft-catalog/electrical/,Curriculum Module,Proprietary (purchase required),https://www.nccer.org/about/terms-of-use,"Identify electrical safety rules, NEC codes, and basic wiring practices",Vocational,~10-15 hrs/module,Yes – NCCERconnect,"Technical diagrams, Videos",1,⚠️ PROPRIETARY – industry credential standard; NEC-aligned
NCCER,Plumbing Level 1 – Introduction,https://www.nccer.org/craft-catalog/plumbing/,Curriculum Module,Proprietary (purchase required),https://www.nccer.org/about/terms-of-use,"Identify plumbing systems, materials, and installation fundamentals",Vocational,~10-15 hrs/module,Yes – NCCERconnect,"Technical diagrams, Videos",1,⚠️ PROPRIETARY – industry standard; basic electricity module included
Alison,Diploma in HVAC Technology,https://alison.com/course/diploma-in-hvac-technology,Course,Proprietary (free-to-access),https://alison.com/legal,"Describe HVAC system types, components, and maintenance procedures",Vocational,~10-15 hrs,Yes – final assessment 80% pass; CPD certified,"Video, Text",1,⚠️ PROPRIETARY – free access; CPD UK accredited; certificate purchase optional
Alison,Arc Welding and Cutting – OSHA,https://alison.com/course/arc-welding-and-cutting-osha,Course,Proprietary (free-to-access),https://alison.com/legal,Apply OSHA welding safety protocols and fire prevention measures,Vocational,~1-2 hrs,Yes – auto-graded quiz,"Video, Text",1,⚠️ PROPRIETARY – OSHA-aligned; quick compliance cert module
Alison,Nursing Studies – Patient Care and Hygiene,https://alison.com/course/nursing-studies-patient-care-and-hygiene,Course,Proprietary (free-to-access),https://alison.com/legal,Demonstrate proper patient care and hygiene practices in clinical settings,Vocational,~1.5-3 hrs,Yes – 80% pass required; CPD certified,"Video, Text",1,⚠️ PROPRIETARY – free; CPD certified; healthcare vocational track
Alison,IT Support (CompTIA A+ Aligned),https://alison.com/tag/comptia,Course,Proprietary (free-to-access),https://alison.com/legal,"Troubleshoot hardware, software, and network issues at IT support level",Vocational,~10-15 hrs,Yes – auto-graded assessments,"Video, Text",1,⚠️ PROPRIETARY – CompTIA A+ exam prep alignment; free content
Alison,Construction Site Safety (OSHA 10),https://alison.com/tag/construction,Course,Proprietary (free-to-access),https://alison.com/legal,Identify construction site hazards and apply OSHA fall-protection standards,Vocational,~10 hrs,Yes – auto-graded,"Video, Text",2,⚠️ PROPRIETARY – OSHA 10 construction-aligned; free access
OSHA.gov,Electrical Safety eTool,https://www.osha.gov/etools/electrical,eTool / Interactive,Public Domain (U.S. Gov),https://www.osha.gov/aboutosha/web-policies/copyright,Identify electrical workplace hazards and apply OSHA Subpart S standards,Vocational,~2-3 hrs,No formal assessment (reference tool),"Interactive diagrams, Photos",1,Public domain; free to embed; essential for electrical compliance training
OSHA.gov,Lockout/Tagout eTool,https://www.osha.gov/etools/lockout-tagout,eTool / Interactive,Public Domain (U.S. Gov),https://www.osha.gov/aboutosha/web-policies/copyright,Implement lockout/tagout energy-control procedures per 29 CFR 1910.147,Vocational,~2 hrs,No formal assessment,Interactive diagrams,1,Public domain; LOTO compliance; critical for any maintenance trade
OSHA.gov,Scaffolding eTool,https://www.osha.gov/etools/scaffolding,eTool / Interactive,Public Domain (U.S. Gov),https://www.osha.gov/aboutosha/web-policies/copyright,Identify scaffolding types and apply OSHA assembly and use standards,Vocational,~2 hrs,No formal assessment,Interactive diagrams,2,Public domain; construction track; free embed
OSHAcademy,Personal Protective Equipment (Course 108),https://www.oshacademy.com/courses/108-personal-protective-equipment-basic,Course,Proprietary (free-to-access),https://www.oshacademy.com/terms/,Select and use appropriate PPE for workplace hazard control,Vocational,~2 hrs,Yes – auto-graded quiz; certificate purchase optional,"Video, Text, Photos",1,⚠️ PROPRIETARY – free access; OSHA-aligned; certificate available
OSHAcademy,Energy Control (Lockout/Tagout) Course 710,https://www.oshacademy.com/courses/710-energy-control-program-lockout-tagout,Course,Proprietary (free-to-access),https://www.oshacademy.com/terms/,Develop and apply an energy control program for hazardous equipment,Vocational,~3 hrs,Yes – auto-graded,"Video, Text",1,⚠️ PROPRIETARY – free; 29 CFR 1910.147 aligned
